DateTime,AddedIPs,RemovedIPs
1535353985,0,1
1535357817,0,1
1535367403,0,1
1535369334,0,2
1535375066,0,1
1535377026,0,1
1535378902,1,1
1535380873,0,1
1535384673,0,1
1535386611,0,1
1535388512,2,0
1535392369,0,1
1535394259,0,1
1535396232,0,2
1535402197,1,0
1535409884,1,0
1535421804,1,0
1535425963,0,1
1535437479,1,0
1535456905,1,0
1535464605,0,1
1535474223,0,1
1535476354,0,1
1535478296,1,0
1535480200,2,0
1535487916,0,1
1535495577,0,1
1535508999,0,1
1535512839,1,0
1535524362,0,1
1535536115,1,0
1535539952,1,0
1535541905,0,1
1535566091,0,2
1535568272,0,1
1535570201,1,0
1535599969,0,1
1535621316,0,1
1535625164,1,1
1535627070,1,0
1535642904,1,0
1535656386,0,1
1535658285,2,0
1535667884,2,0
1535670083,2,0
1535671943,1,0
1535677980,1,0
1535687574,1,0
1535689468,1,0
1535707148,1,0
1535711080,0,1
1535713011,0,1
1535728809,1,1
1535744229,0,1
1535746123,0,1
1535753807,0,2
1535755716,0,1
1535759553,0,1
1535765308,0,1
1535769158,1,0
1535773015,0,1
1535776831,0,1
1535790276,1,0
1535792208,2,0
1535794107,0,1
1535797956,1,0
1535803736,1,0
1535813314,1,0
1535815241,3,1
1535817176,1,0
1535819063,2,0
1535832774,1,0
1535834675,2,0
1535842358,0,1
1535846202,1,0
1535855806,0,1
1535857723,1,0
1535859662,1,0
1535865407,1,0
1535869261,1,0
1535876929,0,1
1535878906,0,2
1535884845,1,1
1535886753,1,0
1535888685,2,0
1535890620,0,1
1535892514,1,0
1535898287,0,1
1535900188,0,1
1535902367,0,2
1535904280,0,2
1535906453,0,1
1535910291,1,0
1535914115,1,0
1535919887,0,1
1535921789,0,2
1535923719,1,0
1535932891,0,1
1535944594,0,1
1535946515,0,1
1535952298,0,1
1535956118,1,1
1535961895,1,0
1535964032,1,0
1535970041,1,1
1535973888,0,3
1535975809,1,0
1535977720,1,1
1535981553,1,0
1535996906,0,1
1536000756,0,1
1536004608,2,0
1536006525,1,0
1536008488,1,0
1536010373,2,1
1536014426,1,0
1536028400,1,0
1536032219,1,0
1536034107,1,0
1536036054,1,0
1536041824,0,1
1536048087,0,1
1536051879,1,1
1536055757,0,1
1536063431,0,2
1536065307,1,0
1536067249,1,1
1536080699,1,0
1536090525,2,2
1536092462,0,1
1536096446,0,3
1536100353,0,1
1536106361,1,0
1536114032,1,0
1536115952,0,1
1536119793,0,2
1536123690,0,1
1536137308,0,1
